config,rank1_overall,rank5_overall,rank1_train_AH,rank1_val_I,rank1_heldout_JK
raw_baseline,78.37243401759531,96.18768328445748,78.32661290322581,63.70967741935484,85.88709677419355
phase1_phase2_original,73.16715542521995,94.72140762463343,74.6975806451613,56.45161290322581,75.40322580645162
phase1_phase2_with_synth,82.40469208211144,97.50733137829911,85.18145161290323,72.58064516129032,76.20967741935483
