epoch,train_loss,train_rank1,val_rank1,heldout_rank1
1,12.59863703591483,76.31048387096774,67.74193548387096,78.62903225806451
2,10.582805143083846,82.35887096774194,65.3225806451613,84.2741935483871
3,9.750043092455183,83.56854838709677,70.96774193548387,83.87096774193549
4,9.34305831364223,83.36693548387096,66.93548387096774,82.25806451612904
5,9.071386473519462,83.06451612903226,66.12903225806451,78.2258064516129
6,8.795906373432704,85.28225806451613,60.483870967741936,87.09677419354838
7,8.565475572858539,84.97983870967742,66.12903225806451,86.69354838709677
8,8.459198747362409,84.17338709677419,69.35483870967742,83.46774193548387
9,8.242391865594046,85.28225806451613,65.3225806451613,84.2741935483871
10,8.112041691371372,87.29838709677419,66.93548387096774,87.09677419354838
11,8.279970482417516,87.5,64.51612903225806,87.09677419354838
12,8.111233915601458,87.09677419354838,66.93548387096774,87.09677419354838
13,8.03430392401559,83.77016129032258,65.3225806451613,84.6774193548387
14,8.029686750684466,86.49193548387096,66.12903225806451,87.5
15,7.74701953615461,84.57661290322581,66.93548387096774,84.2741935483871
16,7.766099636895316,86.08870967741936,70.16129032258064,86.29032258064517
17,7.691614961624145,88.10483870967742,67.74193548387096,83.06451612903226
18,7.581177302769253,88.60887096774194,64.51612903225806,84.6774193548387
19,7.668735204424177,86.69354838709677,72.58064516129032,82.25806451612904
20,7.540217876434326,84.17338709677419,65.3225806451613,83.06451612903226
21,7.5085463660103935,77.01612903225806,60.483870967741936,69.35483870967742
22,7.420903471537999,86.89516129032258,72.58064516129032,83.87096774193549
23,7.600066900253296,88.00403225806451,65.3225806451613,82.66129032258064
24,7.346076447623116,87.09677419354838,67.74193548387096,80.64516129032258
25,7.3580663272312705,86.08870967741936,70.16129032258064,80.64516129032258
26,7.347475228990827,88.81048387096774,68.54838709677419,81.45161290322581
27,7.230986159188407,87.29838709677419,70.16129032258064,81.04838709677419
28,7.305943202972412,87.1975806451613,70.96774193548387,78.62903225806451
29,7.211193656921386,88.30645161290323,70.16129032258064,81.85483870967742
30,7.3942560195922855,86.18951612903226,71.7741935483871,80.64516129032258
31,7.118375314985003,89.01209677419355,71.7741935483871,82.25806451612904
32,7.150846917288644,87.70161290322581,72.58064516129032,80.64516129032258
33,7.08410689490182,86.29032258064517,73.38709677419355,83.87096774193549
34,7.137168223517282,89.01209677419355,69.35483870967742,81.45161290322581
35,7.118629326139177,85.98790322580645,70.16129032258064,79.83870967741936
36,7.03915491104126,89.51612903225806,69.35483870967742,81.04838709677419
37,6.955061878476824,81.75403225806451,63.70967741935484,70.16129032258064
38,7.035440158843994,87.09677419354838,70.96774193548387,79.43548387096774
39,7.073436294283185,89.51612903225806,72.58064516129032,79.83870967741936
40,7.139492034912109,88.70967741935483,69.35483870967742,80.24193548387096
41,7.080045202800206,85.78629032258064,71.7741935483871,78.2258064516129
42,7.044114977972848,87.90322580645162,74.19354838709677,83.46774193548387
43,7.1277131080627445,87.8024193548387,73.38709677419355,81.04838709677419
44,7.115681287220546,88.50806451612904,73.38709677419355,82.66129032258064
45,7.191493960789272,86.89516129032258,72.58064516129032,79.43548387096774
46,7.025885152816772,88.20564516129032,70.96774193548387,81.04838709677419
47,6.979540021078927,90.12096774193549,70.16129032258064,79.83870967741936
48,6.956817633765084,89.31451612903226,70.96774193548387,79.43548387096774
49,6.903992414474487,87.70161290322581,71.7741935483871,81.85483870967742
50,6.967126989364624,89.61693548387096,71.7741935483871,81.45161290322581
