epoch,train_loss,val_acc
1,37.88360068034051,10.81632673740387
2,35.20959864568787,17.885488271713257
3,34.59845404386904,22.069160640239716
4,34.195216745570086,22.772109508514404
5,33.85913897405308,22.81745970249176
6,33.57726830253662,19.620181620121002
7,33.3191660022582,27.936509251594543
8,33.077966699277724,20.63492089509964
9,32.833464940389,20.52721083164215
10,32.62408067331606,29.96598780155182
11,32.41381561967294,20.079365372657776
12,32.23784886235776,23.02154153585434
13,32.075250932751835,28.112244606018066
14,31.90491640702154,29.1723370552063
15,31.728044141317913,32.27891027927399
16,31.570974442118032,22.13718891143799
17,31.456686388467244,30.83900213241577
18,31.361774291009336,22.81179130077362
19,31.231796611718316,25.17573833465576
20,31.180081974097114,33.45805108547211
21,31.088030961016717,33.01587402820587
22,31.04675970830011,31.34353756904602
23,30.964261977952845,34.21201705932617
24,30.910745454871137,33.42970609664917
25,30.872904232350717,34.676870703697205
26,30.85634116696467,34.24603044986725
27,30.814340290432007,27.66439914703369
28,30.791947326414444,23.0158731341362
29,30.77657347600817,30.243763327598572
30,30.740661906735333,31.468254327774048
