epoch,train_loss,train_rank1,val_rank1,heldout_rank1
1,10.212868290562783,46.774193548387096,29.032258064516128,56.45161290322581
2,7.611949982181672,57.86290322580645,33.87096774193548,70.96774193548387
3,6.170331570409959,57.86290322580645,36.29032258064516,71.37096774193549
4,4.858402905925628,68.4475806451613,43.54838709677419,79.43548387096774
5,4.235075304585118,68.24596774193549,47.58064516129032,79.43548387096774
6,3.749321702987917,70.16129032258064,50.806451612903224,79.83870967741936
7,3.8282762958157446,72.37903225806451,54.83870967741935,73.79032258064517
8,3.2748586977681806,74.39516129032258,57.25806451612903,79.03225806451613
9,3.0812837846817507,73.58870967741936,59.67741935483871,76.20967741935483
10,2.8795543216889903,81.04838709677419,67.74193548387096,77.01612903225806
11,2.7152355986256755,79.53629032258064,63.70967741935484,78.2258064516129
12,2.8623494832746443,81.95564516129032,66.12903225806451,76.20967741935483
13,2.8134432223535355,67.94354838709677,54.03225806451613,68.54838709677419
14,2.7009382324834026,76.51209677419355,66.12903225806451,75.80645161290323
15,2.4787016414826915,74.59677419354838,64.51612903225806,72.58064516129032
16,2.5435177549239127,72.47983870967742,62.096774193548384,69.35483870967742
17,2.244872646947061,80.24193548387096,68.54838709677419,74.19354838709677
18,2.5531599598546184,85.68548387096774,72.58064516129032,74.59677419354838
19,2.4779890506498274,82.15725806451613,69.35483870967742,73.38709677419355
20,2.295750464162519,85.08064516129032,71.7741935483871,76.20967741935483
21,2.1591094809193767,79.13306451612904,63.70967741935484,77.41935483870968
22,2.3969903049930448,79.53629032258064,62.903225806451616,73.79032258064517
23,2.399100665123232,76.61290322580645,69.35483870967742,72.1774193548387
24,2.073816842609836,78.83064516129032,70.16129032258064,74.19354838709677
25,2.1245907179770933,77.52016129032258,67.74193548387096,74.19354838709677
26,1.9039313134647184,83.87096774193549,69.35483870967742,75.40322580645162
27,1.8571556393177278,81.75403225806451,66.93548387096774,74.19354838709677
28,2.0183455636424403,81.85483870967742,67.74193548387096,74.19354838709677
29,2.224483653422325,78.72983870967742,63.70967741935484,73.79032258064517
30,2.298301637172699,78.125,63.70967741935484,74.19354838709677
31,1.9903657974735383,78.72983870967742,66.12903225806451,73.79032258064517
32,2.089134617197898,80.34274193548387,66.12903225806451,75.0
33,2.0321673116376324,75.90725806451613,60.483870967741936,72.98387096774194
34,1.9743892550468445,83.26612903225806,65.3225806451613,73.38709677419355
35,1.7563936095083914,85.68548387096774,68.54838709677419,72.1774193548387
36,1.8758511408682792,85.88709677419355,66.93548387096774,75.80645161290323
37,2.0034560349679764,85.48387096774194,70.96774193548387,74.59677419354838
38,2.027873418023509,81.45161290322581,63.70967741935484,72.98387096774194
39,1.8205193242719095,76.71370967741936,58.064516129032256,73.79032258064517
40,1.95253149059511,84.17338709677419,66.93548387096774,73.79032258064517
41,1.7954731304799356,82.56048387096774,63.70967741935484,74.59677419354838
42,1.692274239755446,81.95564516129032,65.3225806451613,74.59677419354838
43,1.9813079680165937,85.38306451612904,67.74193548387096,75.40322580645162
44,1.816575841557595,79.73790322580645,66.12903225806451,74.19354838709677
45,1.950244318093023,81.25,61.29032258064516,75.80645161290323
46,2.0823400289781633,74.19354838709677,60.483870967741936,72.98387096774194
47,1.922933420827312,80.54435483870968,64.51612903225806,76.61290322580645
48,1.9347484736673293,86.79435483870968,67.74193548387096,76.20967741935483
49,1.9801729552207454,80.74596774193549,62.096774193548384,75.40322580645162
50,1.9041261769110156,82.15725806451613,64.51612903225806,75.0
