epoch,train_loss,val_acc
1,11.309425556298459,3.8167938590049744
2,9.080962657928467,2.2900763899087906
3,7.519422068740383,0.0
4,6.701830025875207,0.7633587811142206
5,6.277072747548421,2.2900763899087906
6,5.961148269248731,0.0
7,5.625770908413512,0.7633587811142206
8,5.500821128036037,0.0
9,5.326412121454875,0.0
10,5.039069356340351,0.7633587811142206
11,4.899513764814897,2.2900763899087906
12,4.884719292322795,1.5267175622284412
13,4.73897521423571,0.0
14,4.711462765028982,0.0
15,4.904303846937237,0.0
16,4.628563974842881,0.0
17,4.957275874686964,0.7633587811142206
18,4.707895336729107,0.0
19,4.51991209116849,0.0
20,4.809695648424553,0.0
21,4.812808715935909,2.2900763899087906
22,4.890869061152141,0.0
23,4.499423511100538,0.0
24,4.6608233596339375,0.0
25,4.715974265878851,4.580152779817581
26,4.618908853241892,4.580152779817581
27,4.513212637467817,0.0
28,4.393888975634719,0.0
29,4.265135924021403,0.0
30,4.195896296790152,0.0
31,4.29700644088514,0.0
32,4.408659725478201,0.0
33,4.264368786956325,0.0
34,4.108255834290476,2.2900763899087906
35,3.9931002819176875,0.0
36,4.223243843425404,0.0
37,4.3830678968718555,0.0
38,3.975653092066447,0.7633587811142206
39,4.046600518804608,0.0
40,3.9146096164529975,0.7633587811142206
41,4.059985847184152,0.0
42,3.932218970674457,0.7633587811142206
43,4.047970565882596,0.0
44,3.8220243020491167,0.0
45,3.969915657332449,0.0
46,3.9445945313482573,1.5267175622284412
47,3.9542277148275664,0.7633587811142206
48,3.7439331502625435,0.7633587811142206
49,3.724844192013596,0.0
50,3.763687126564257,0.0
