epoch,train_loss,train_rank1,val_rank1,heldout_rank1
1,10.322779593929168,48.185483870967744,37.903225806451616,53.62903225806452
2,7.6240036718307005,55.94758064516129,41.935483870967744,72.98387096774194
3,6.1246854720577115,56.149193548387096,41.935483870967744,72.98387096774194
4,4.820727363709481,66.93548387096774,47.58064516129032,79.83870967741936
5,4.216577922144244,66.33064516129032,47.58064516129032,77.41935483870968
6,3.752430204422243,69.25403225806451,45.16129032258065,76.61290322580645
7,3.7674948323157524,71.06854838709677,52.41935483870968,74.19354838709677
8,3.2287562662555325,72.47983870967742,56.45161290322581,78.2258064516129
9,3.0603295103196175,71.37096774193549,55.645161290322584,76.61290322580645
10,2.874057389074756,79.53629032258064,60.483870967741936,77.01612903225806
11,2.7233515401040354,78.32661290322581,61.29032258064516,77.41935483870968
12,2.7701705386561732,80.44354838709677,64.51612903225806,75.0
13,2.8667965877440666,65.7258064516129,56.45161290322581,70.16129032258064
14,2.6667223168957617,74.39516129032258,61.29032258064516,72.1774193548387
15,2.4429497718811035,72.58064516129032,58.87096774193548,71.7741935483871
16,2.536768651777698,70.86693548387096,58.064516129032256,70.56451612903226
17,2.187232800068394,80.34274193548387,64.51612903225806,69.75806451612904
18,2.5142627800664594,85.18145161290323,72.58064516129032,76.20967741935483
19,2.387758504959845,81.85483870967742,68.54838709677419,72.1774193548387
20,2.2630884762733214,84.375,70.96774193548387,76.61290322580645
21,2.160905957221985,77.41935483870968,62.096774193548384,72.58064516129032
22,2.351717916227156,79.23387096774194,66.93548387096774,68.54838709677419
23,2.368695858986147,75.50403225806451,62.903225806451616,69.35483870967742
24,2.0732693095361032,78.0241935483871,66.93548387096774,69.75806451612904
25,2.1220469494019785,76.20967741935483,63.70967741935484,72.98387096774194
26,1.8819965864381483,83.36693548387096,69.35483870967742,75.40322580645162
27,1.8441844515262111,81.95564516129032,72.58064516129032,71.37096774193549
28,2.0115934571912213,81.85483870967742,69.35483870967742,71.37096774193549
29,2.1996714530452603,78.83064516129032,63.70967741935484,70.16129032258064
30,2.1870057770321445,77.21774193548387,61.29032258064516,68.54838709677419
31,2.019706633783156,78.83064516129032,66.12903225806451,70.96774193548387
32,1.9991020142070708,80.14112903225806,66.93548387096774,71.37096774193549
33,1.957779622847034,75.20161290322581,60.483870967741936,69.75806451612904
34,1.872288413586155,83.06451612903226,67.74193548387096,71.7741935483871
35,1.739310384758057,84.6774193548387,65.3225806451613,71.37096774193549
36,1.8308730356154903,84.87903225806451,67.74193548387096,73.79032258064517
37,2.017238522729566,85.38306451612904,69.35483870967742,70.56451612903226
38,1.965542983624243,80.9475806451613,66.93548387096774,71.37096774193549
39,1.7696954636804518,75.60483870967742,60.483870967741936,70.16129032258064
40,1.8422301334719504,84.375,68.54838709677419,73.79032258064517
41,1.8009212324696202,83.36693548387096,65.3225806451613,74.59677419354838
42,1.7357456155361668,82.15725806451613,66.12903225806451,71.7741935483871
43,1.909853926589412,84.6774193548387,70.16129032258064,74.59677419354838
44,1.8557897113984632,79.03225806451613,63.70967741935484,69.35483870967742
45,1.9384007203963496,80.64516129032258,62.903225806451616,73.38709677419355
46,2.0962445505203737,73.58870967741936,58.87096774193548,72.1774193548387
47,1.9108237489577262,80.74596774193549,65.3225806451613,72.58064516129032
48,1.8943415841748636,86.18951612903226,70.16129032258064,72.98387096774194
49,1.9496647888614285,79.83870967741936,62.903225806451616,70.96774193548387
50,1.8432802423354118,82.56048387096774,65.3225806451613,72.98387096774194
