epoch,train_loss,val_rank1
1,37.85067728315081,7.736389338970184
2,35.278840800694056,10.078921914100647
3,34.70013338361468,12.562207877635956
4,34.3198834337507,14.185895025730133
5,33.995924737112865,15.895038843154907
6,33.72288557870048,16.025738418102264
7,33.47064503805978,17.694666981697083
8,33.26016126087734,13.356457650661469
9,33.00532679966518,20.062333345413208
10,32.78746702194214,20.223194360733032
11,32.63162823813302,15.995576977729797
12,32.42635703495571,19.08208876848221
13,32.20783986227853,23.033227026462555
14,32.06080557414464,19.715477526187897
15,31.920068231310164,22.595888376235962
16,31.78159439631871,22.610968351364136
17,31.681052968161445,23.420298099517822
18,31.511275512150355,21.062685549259186
19,31.379936804090228,23.591212928295135
20,31.32439590999058,23.013120889663696
21,31.220421183449883,22.721560299396515
22,31.223618602752687,22.34957069158554
23,31.106401293618337,24.380435049533844
24,31.052443972996304,26.60232186317444
25,31.01055056980678,23.12873899936676
26,30.95699428830828,25.229981541633606
27,30.95700306756156,24.048660695552826
28,30.97030431474958,25.60197114944458
29,30.91360994883946,23.02820086479187
30,30.90443617956979,25.752776861190796
